2022-07-27 13:56:00,20,6,0,6,120,adicionar,120.0€
2022-07-27 13:56:04,50,3,0,3,150,adicionar,270.0€
2022-07-27 13:56:20,9999999999999999,9999999999999999,9999999999999999,9999999999999999,,9999999999999999,
2022-07-27 14:00:33,20,6,0,6,120,adicionar,120.0€
2022-07-27 14:00:35,10,6,0,6,60,adicionar,180.0€
2022-07-27 14:00:49,20,3,6,3,-60,removido(emprestimo),120.0€
2022-07-27 14:01:46,10,2,6,4,-20,removido(emprestimo),100.0€
2022-07-27 14:04:55,20,1,3,2,-20,removido(emprestimo),80.0€
2022-07-27 14:16:43,20,3,2,62,60,adicionado(emprestimo pago),80.0€
2022-07-27 14:20:26,20,1,2,22,20,adicionado(emprestimo pago),80.0€
2022-07-27 14:22:22,10,2,4,24,20,adicionado(emprestimo pago),80.0€
2022-08-06 11:44:36,20,1,2,3,20,adicionar,100.0€
2022-08-06 11:50:03,10,1,4,5,10,adicionar,110.0€
2022-08-06 11:54:39,2,1,0,1,2,adicionar,112.0€
2022-08-08 23:31:28,0.05,2,124,126,0.1,adicionar,118.3€
2022-08-08 23:31:44,0.05,2,126,128,0.1,adicionar,118.4€
